episode,timestep,reward
2753,275400,190.5
2755,275600,251.0
2757,275800,212.5
2759,276000,231.0
2761,276200,230.5
2763,276400,232.5
2765,276600,258.0
2767,276800,304.0
2769,277000,254.0
2771,277200,240.5
2773,277400,240.0
2775,277600,194.0
2777,277800,221.5
2779,278000,231.5
2781,278200,147.0
2783,278400,175.5
2785,278600,187.5
2787,278800,194.0
2789,279000,219.0
2791,279200,197.0
2793,279400,236.5
2795,279600,286.5
2797,279800,184.0
2799,280000,132.0
2801,280200,141.5
2803,280400,167.0
2805,280600,209.5
2807,280800,209.5
2809,281000,193.0
2811,281200,233.0
2813,281400,180.0
2815,281600,216.5
2817,281800,242.0
2819,282000,192.5
2821,282200,253.0
2823,282400,194.0
2825,282600,141.5
2827,282800,230.0
2829,283000,219.0
2831,283200,230.0
2833,283400,162.5
2835,283600,218.5
2837,283800,218.5
2839,284000,217.0
2841,284200,160.0
2843,284400,170.5
2845,284600,244.5
2847,284800,170.5
2849,285000,215.5
2851,285200,223.0
2853,285400,200.0
2855,285600,197.5
2857,285800,228.5
2859,286000,206.5
2861,286200,205.0
2863,286400,188.0
2865,286600,244.5
2867,286800,172.0
2869,287000,277.0
2871,287200,248.5
2873,287400,199.0
2875,287600,191.0
2877,287800,158.0
2879,288000,216.5
2881,288200,199.0
2883,288400,154.0
2885,288600,207.0
